PassengerId,Survived
892,tensor([0])
893,tensor([0])
894,tensor([0])
895,tensor([0])
896,tensor([0])
897,tensor([0])
898,tensor([1])
899,tensor([0])
900,tensor([1])
901,tensor([0])
902,tensor([0])
903,tensor([0])
904,tensor([1])
905,tensor([0])
906,tensor([1])
907,tensor([1])
908,tensor([0])
909,tensor([0])
910,tensor([0])
911,tensor([0])
912,tensor([0])
913,tensor([1])
914,tensor([1])
915,tensor([1])
916,tensor([1])
917,tensor([0])
918,tensor([1])
919,tensor([0])
920,tensor([0])
921,tensor([0])
922,tensor([0])
923,tensor([0])
924,tensor([0])
925,tensor([0])
926,tensor([0])
927,tensor([0])
928,tensor([1])
929,tensor([0])
930,tensor([0])
931,tensor([0])
932,tensor([0])
933,tensor([0])
934,tensor([0])
935,tensor([1])
936,tensor([1])
937,tensor([0])
938,tensor([0])
939,tensor([0])
940,tensor([1])
941,tensor([0])
942,tensor([0])
943,tensor([0])
944,tensor([1])
945,tensor([1])
946,tensor([0])
947,tensor([0])
948,tensor([0])
949,tensor([0])
950,tensor([0])
951,tensor([1])
952,tensor([0])
953,tensor([0])
954,tensor([0])
955,tensor([1])
956,tensor([0])
957,tensor([1])
958,tensor([1])
959,tensor([0])
960,tensor([0])
961,tensor([1])
962,tensor([1])
963,tensor([0])
964,tensor([1])
965,tensor([0])
966,tensor([1])
967,tensor([0])
968,tensor([0])
969,tensor([0])
970,tensor([0])
971,tensor([1])
972,tensor([1])
973,tensor([0])
974,tensor([0])
975,tensor([0])
976,tensor([0])
977,tensor([0])
978,tensor([1])
979,tensor([0])
980,tensor([1])
981,tensor([1])
982,tensor([0])
983,tensor([0])
984,tensor([1])
985,tensor([0])
986,tensor([0])
987,tensor([0])
988,tensor([1])
989,tensor([0])
990,tensor([0])
991,tensor([0])
992,tensor([1])
993,tensor([0])
994,tensor([0])
995,tensor([0])
996,tensor([0])
997,tensor([0])
998,tensor([0])
999,tensor([0])
1000,tensor([0])
1001,tensor([0])
1002,tensor([0])
1003,tensor([1])
1004,tensor([1])
1005,tensor([1])
1006,tensor([0])
1007,tensor([0])
1008,tensor([0])
1009,tensor([1])
1010,tensor([0])
1011,tensor([1])
1012,tensor([1])
1013,tensor([0])
1014,tensor([1])
1015,tensor([0])
1016,tensor([0])
1017,tensor([0])
1018,tensor([0])
1019,tensor([1])
1020,tensor([0])
1021,tensor([0])
1022,tensor([0])
1023,tensor([0])
1024,tensor([0])
1025,tensor([0])
1026,tensor([0])
1027,tensor([0])
1028,tensor([0])
1029,tensor([0])
1030,tensor([1])
1031,tensor([0])
1032,tensor([0])
1033,tensor([1])
1034,tensor([0])
1035,tensor([0])
1036,tensor([0])
1037,tensor([0])
1038,tensor([0])
1039,tensor([0])
1040,tensor([0])
1041,tensor([0])
1042,tensor([1])
1043,tensor([0])
1044,tensor([0])
1045,tensor([0])
1046,tensor([0])
1047,tensor([0])
1048,tensor([1])
1049,tensor([1])
1050,tensor([0])
1051,tensor([1])
1052,tensor([1])
1053,tensor([1])
1054,tensor([1])
1055,tensor([0])
1056,tensor([0])
1057,tensor([0])
1058,tensor([0])
1059,tensor([0])
1060,tensor([1])
1061,tensor([0])
1062,tensor([0])
1063,tensor([0])
1064,tensor([0])
1065,tensor([0])
1066,tensor([0])
1067,tensor([1])
1068,tensor([1])
1069,tensor([0])
1070,tensor([1])
1071,tensor([1])
1072,tensor([0])
1073,tensor([1])
1074,tensor([1])
1075,tensor([0])
1076,tensor([1])
1077,tensor([0])
1078,tensor([1])
1079,tensor([0])
1080,tensor([0])
1081,tensor([0])
1082,tensor([0])
1083,tensor([0])
1084,tensor([1])
1085,tensor([0])
1086,tensor([1])
1087,tensor([0])
1088,tensor([1])
1089,tensor([1])
1090,tensor([0])
1091,tensor([1])
1092,tensor([1])
1093,tensor([1])
1094,tensor([0])
1095,tensor([1])
1096,tensor([0])
1097,tensor([0])
1098,tensor([0])
1099,tensor([0])
1100,tensor([1])
1101,tensor([0])
1102,tensor([0])
1103,tensor([0])
1104,tensor([0])
1105,tensor([0])
1106,tensor([1])
1107,tensor([0])
1108,tensor([1])
1109,tensor([0])
1110,tensor([1])
1111,tensor([0])
1112,tensor([0])
1113,tensor([0])
1114,tensor([1])
1115,tensor([0])
1116,tensor([1])
1117,tensor([1])
1118,tensor([0])
1119,tensor([1])
1120,tensor([0])
1121,tensor([0])
1122,tensor([0])
1123,tensor([1])
1124,tensor([0])
1125,tensor([0])
1126,tensor([0])
1127,tensor([0])
1128,tensor([1])
1129,tensor([0])
1130,tensor([1])
1131,tensor([1])
1132,tensor([1])
1133,tensor([1])
1134,tensor([0])
1135,tensor([0])
1136,tensor([0])
1137,tensor([0])
1138,tensor([1])
1139,tensor([0])
1140,tensor([1])
1141,tensor([0])
1142,tensor([1])
1143,tensor([0])
1144,tensor([0])
1145,tensor([0])
1146,tensor([0])
1147,tensor([0])
1148,tensor([0])
1149,tensor([0])
1150,tensor([1])
1151,tensor([0])
1152,tensor([0])
1153,tensor([0])
1154,tensor([1])
1155,tensor([1])
1156,tensor([0])
1157,tensor([0])
1158,tensor([0])
1159,tensor([0])
1160,tensor([1])
1161,tensor([0])
1162,tensor([0])
1163,tensor([0])
1164,tensor([1])
1165,tensor([0])
1166,tensor([0])
1167,tensor([1])
1168,tensor([0])
1169,tensor([0])
1170,tensor([0])
1171,tensor([0])
1172,tensor([0])
1173,tensor([1])
1174,tensor([1])
1175,tensor([1])
1176,tensor([1])
1177,tensor([0])
1178,tensor([0])
1179,tensor([0])
1180,tensor([0])
1181,tensor([0])
1182,tensor([0])
1183,tensor([1])
1184,tensor([0])
1185,tensor([0])
1186,tensor([0])
1187,tensor([0])
1188,tensor([1])
1189,tensor([0])
1190,tensor([0])
1191,tensor([0])
1192,tensor([0])
1193,tensor([0])
1194,tensor([0])
1195,tensor([0])
1196,tensor([1])
1197,tensor([1])
1198,tensor([1])
1199,tensor([1])
1200,tensor([1])
1201,tensor([0])
1202,tensor([0])
1203,tensor([0])
1204,tensor([0])
1205,tensor([0])
1206,tensor([1])
1207,tensor([1])
1208,tensor([1])
1209,tensor([0])
1210,tensor([0])
1211,tensor([0])
1212,tensor([0])
1213,tensor([0])
1214,tensor([0])
1215,tensor([0])
1216,tensor([1])
1217,tensor([0])
1218,tensor([1])
1219,tensor([0])
1220,tensor([0])
1221,tensor([0])
1222,tensor([1])
1223,tensor([0])
1224,tensor([0])
1225,tensor([0])
1226,tensor([0])
1227,tensor([0])
1228,tensor([0])
1229,tensor([0])
1230,tensor([0])
1231,tensor([0])
1232,tensor([0])
1233,tensor([0])
1234,tensor([0])
1235,tensor([1])
1236,tensor([0])
1237,tensor([1])
1238,tensor([0])
1239,tensor([0])
1240,tensor([0])
1241,tensor([1])
1242,tensor([1])
1243,tensor([0])
1244,tensor([0])
1245,tensor([0])
1246,tensor([1])
1247,tensor([0])
1248,tensor([1])
1249,tensor([0])
1250,tensor([0])
1251,tensor([0])
1252,tensor([0])
1253,tensor([0])
1254,tensor([1])
1255,tensor([0])
1256,tensor([1])
1257,tensor([1])
1258,tensor([0])
1259,tensor([0])
1260,tensor([1])
1261,tensor([0])
1262,tensor([0])
1263,tensor([1])
1264,tensor([0])
1265,tensor([0])
1266,tensor([1])
1267,tensor([1])
1268,tensor([0])
1269,tensor([0])
1270,tensor([0])
1271,tensor([0])
1272,tensor([0])
1273,tensor([0])
1274,tensor([1])
1275,tensor([0])
1276,tensor([0])
1277,tensor([1])
1278,tensor([0])
1279,tensor([0])
1280,tensor([0])
1281,tensor([0])
1282,tensor([0])
1283,tensor([1])
1284,tensor([1])
1285,tensor([0])
1286,tensor([0])
1287,tensor([1])
1288,tensor([0])
1289,tensor([1])
1290,tensor([0])
1291,tensor([0])
1292,tensor([1])
1293,tensor([0])
1294,tensor([1])
1295,tensor([1])
1296,tensor([0])
1297,tensor([0])
1298,tensor([0])
1299,tensor([0])
1300,tensor([1])
1301,tensor([1])
1302,tensor([1])
1303,tensor([1])
1304,tensor([1])
1305,tensor([0])
1306,tensor([1])
1307,tensor([0])
1308,tensor([0])
1309,tensor([0])
